ID,Created,Date,Interaction IDs,Status,Loan start date,Number of times in arrears,Arrears start date,Current arrears amount,How many PTPs set on this account since first falling into arrears?,How many of these PTPs failed?,How many PAs set on this account since first falling into arrears?,How many of these PAs failed?,How many  holds were applied to this account since first falling into arrears?,Did SMS as per the strategy send to customer during period of arrears? ,Did emails as per the strategy send to customer during period of arrears?,Were all statutory comms sent when required? (NOD/NOSIA/NOT),Are system comms supressed/unsupressed correctly as of now?,Is there a VC flag on this account,Category of VC,Is there a current / open complaint?,Was there a previous complaint relevant to the customers arears position or journey?,Arrears or financial difficulties could not reasonably have been prevented through earlier engagement or support.,Arrears - Fail Reasons,"Any customer vulnerability is identified and appropriately responded to, with tailored support provided where necessary.",Vulnerability - Fail Reasons,The customer’s financial and personal circumstances are clearly understood to inform decision-making.,Customer's financial circumstances - Fail Reasons,"The support or forbearance solutions offered are tailored, fair, and appropriate to the customer’s needs and situation.",Support/Forbearance - Fail Reasons,"The customer fully understands the situation, the implications of their choices, and the next steps.",Customer understanding - Fail Reasons,"Communications are timely, clear, empathetic, and take into account customer needs (e.g. format, tone, timing of comms). Communication was easily understood and accurate. ",Communications - Fail Reasons,"All systems accurately reflect the customer’s circumstances, actions taken, and agreed next steps.",System updates - Fail Reasons,Would further back be a good review - (was any Financial Difficulty  foreseeable at Point Of Sale),Remediation Required ,Which of the below could be described as the primary reason for failure across the entire customer journey?,Were there attempts to X-sell the customer while the account was in arrears?,"If yes, which departments were responsible for attempting to X-sell whilst the customer was in arrears?",Overall outcome,Loan start date - Copy,Tenure (Days),Arrears start date - Copy,Days to enter arrears,Primary Fail Reasons Table.Which of the below could be described as the primary ,Primary Fail Reasons
2,03/06/2025,2025-06-03,be63c298-8392-423c-9dd0-7af8615b1ac1,In strategy,2025-01-06,2,2025-04-25,41.38,1,0,0,0,1,Yes,Yes,Yes,Yes,Yes,"""Financial""",No,No,Good,,Good,,Good,,Good,,Good,,Good,,Good,,No,No,null,,null,Good Outcome with Feedback,06/01/2025,321,25/04/2025,109,,
3,05/06/2025,2025-06-05,a069589a-3fc0-49a5-a1a0-2415c5e81857,Terminated,2024-05-13,1,2024-12-03,1032.88,0,0,0,0,0,Yes,Yes,Yes,Yes,No,,No,No,Good,,Good,,Good,,Poor,"""Inappropriate solution for customer scenario""",Good,,Poor,"""Tone was dismissive or robotic, lacking empathy or understanding.""",Good with feedback,"""Inconsistency between call notes and system updates""",No,Yes,null,,null,Poor Outcome - Advisor,13/05/2024,559,03/12/2024,204,,
4,09/06/2025,2025-06-09,"803f1c20-08f5-4573-9fd2-dd064215b19a
fa7ff484-5c8f-444c-8af7-02d8e45df5c7
c60ac83a-9338-4e6a-bd05-497442dce7ed
https://uk.aeriandi.com/player/app/v2/84490/4744344/portal?ref_75977088
254fbb2c-e7be-43d7-bebc-1b3154cc2c01
bd7e2c78-6beb-4992-808b-6efa51a72259
7419b2c1-f605-473c-829b-bc27219058b8",In strategy,2024-11-12,4,2024-12-31,1225.32,6,0,0,0,6,Yes,Yes,Yes,Yes,Yes,"""Financial""",No,Yes,Poor,"""Agent failed to offer appropriate support early"",""No proactive contact made despite available indicators of payment stress or pre-arrears."",""Missed early warning signs""",Poor,"""Standard solutions offered, no evidence of tailoring based on the vulnerability."",""Vulnerability flag not recorded or updated, impacting future support consistency.""",Good with feedback,"""Key income/outgoings missed or misclassified"",""No evidence of personalisation in the outcome based on the customer’s circumstances.""",Good with feedback,"""No rationale recorded for solution chosen, so suitability cannot be evidenced.""",Poor,"""Next steps unclear or conflicting"",""Customer asked no questions/questions ignored and was rushed, suggesting lack of understanding.""",Poor,"""Message unclear or contradictory, causing customer confusion."",""Tone was dismissive or robotic, lacking empathy or understanding.""",Poor,"""Key details missing or incomplete in the system "",""Inconsistency between call notes and system updates""",Yes,Yes,null,,null,Poor Outcome - Advisor,12/11/2024,376,31/12/2024,49,,
5,10/06/2025,2025-06-10,"c6dfebe2-b5aa-46f9-a543-6aa1725eafd3
ed60f61f-5dd3-47ad-b8a4-19346bc0af56
c61b6ddd-81c7-472c-a499-b1d03de67dd5",In strategy,2023-07-21,2,2024-11-08,18.5,2,0,0,0,2,Yes,Yes,Yes,Yes,No,,No,No,Good,,Poor,"""Signs of vulnerability not probed or acknowledged "",""Customer disclosure overlooked or not acted upon""",Good,,Good,,Good,,Good with feedback,"""Tone was dismissive or robotic, lacking empathy or understanding.""",Good,,No,No,null,,null,Poor Outcome - Advisor,21/07/2023,856,08/11/2024,476,,
6,10/06/2025,2025-06-02,"1dbf6839-7589-49f0-aefc-ed28f5a4046c, 30678079-fe11-48b9-af27-9cc020008ba4, 81d7884b-b73f-40cd-9318-2d89a9d5562a, 8776c603-d733-4dcb-ab98-9a891912cc70, ",In strategy,2024-01-07,2,2025-06-06,31.53,4,1,3,0,1,No,Yes,N/A,Yes,No,,No,No,Good,,Good,,Good,,Good,,Good,,Good,,Good,,No,No,null,,null,Good Outcome ,07/01/2024,686,06/06/2025,516,,
8,11/06/2025,2025-06-10,"e24ff077-bf82-4c4a-90d8-bd79b83e77a5 
5fedff0a-2362-4c05-a771-f72bb0bbc1e2 
7845192b-2987-4ed2-9e50-9f74de1205a1
a8f7ce3e-4820-4ae5-a1f3-d6a8ef8b47c7
06b19660-f098-479f-bdd8-8952e67cac9b",Terminated,2024-09-09,3,2024-10-12,969.68,0,0,2,1,1,Yes,Yes,Yes,Yes,Yes,"""Financial"",""Mental & Emotional Wellbeing""",No,No,Good with feedback,"""Agent failed to offer appropriate support early""",Good with feedback,"""Standard solutions offered, no evidence of tailoring based on the vulnerability."",""Vulnerability flag not recorded or updated, impacting future support consistency.""",Good with feedback,"""Customer challenges not explored"",""Assumptions made without clarification""",Good with feedback,"""Proposed solution not affordable or sustainable based on I&E or customer disclosure."",""No rationale recorded for solution chosen, so suitability cannot be evidenced.""",Good with feedback,"""Customer asked no questions/questions ignored and was rushed, suggesting lack of understanding."",""Next steps unclear or conflicting"",""Jargon or technical terms used with no clarification""",Good with feedback,"""Tone was dismissive or robotic, lacking empathy or understanding."",""Message unclear or contradictory, causing customer confusion.""",Poor,"""Key details missing or incomplete in the system "",""Incorrect flags or statuses applied""",Yes,Yes,null,,null,Good Outcome with Feedback,09/09/2024,440,12/10/2024,33,,
7,11/06/2025,2025-06-11,"https://uk.aeriandi.com/player/app/v2/84490/4744344/portal?ref_63216127
https://uk.aeriandi.com/player/app/v2/84490/4744344/portal?ref_73954611
https://uk.aeriandi.com/player/app/v2/84490/4744344/portal?ref_74802622
ffd0ce08-0df1-47e6-8750-f4bd8559bf10",Terminated,2023-10-27,6,2023-12-06,742.5,2,0,0,0,3,Yes,Yes,Yes,Yes,Yes,"""Mental & Emotional Wellbeing""",Yes,No,Good,,Poor,"""Signs of vulnerability not probed or acknowledged "",""Customer disclosure overlooked or not acted upon"",""Vulnerability flag not recorded or updated, impacting future support consistency.""",Good,,Good,,Good,,Poor,"""Tone was dismissive or robotic, lacking empathy or understanding."",""Delayed response or contact, leading to increased customer detriment or anxiety.""",Poor,"""Key details missing or incomplete in the system "",""Inconsistency between call notes and system updates""",No,No,null,,null,Poor Outcome - Advisor,27/10/2023,758,06/12/2023,40,,
9,11/06/2025,2025-06-04,"2eadb2f8-66bc-4086-b8be-c59d8177fd65
7539f657-c072-41f5-8a7a-f6e5bdc14732",In strategy,2024-11-28,15,2025-03-02,94.24,2,0,0,0,0,Yes,Yes,Yes,No,No,,No,No,Good,,Good,,Good with feedback,"""Assumptions made without clarification""",Good,,Good,,Good,,Good,,Yes,Yes,null,,null,Poor Outcome - Process or System,28/11/2024,360,02/03/2025,94,,
10,12/06/2025,2025-06-11,"7d6c6e27-f215-43c9-87f4-b6a31378e17c-jan 12 2025 
2ab9e06e-81de-4f20-9c53-2c77f562f191-oct 2024",Up to Date,2024-08-01,1,2024-09-30,0,1,0,0,0,0,Yes,Yes,Yes,Yes,No,,No,No,Good with feedback,"""Agent failed to offer appropriate support early""",Good,,Good with feedback,"""Assumptions made without clarification"",""Key income/outgoings missed or misclassified""",Poor,"""Inflexible options offered""",Poor,"""Next steps unclear or conflicting""",Good with feedback,"""Tone was dismissive or robotic, lacking empathy or understanding.""",Poor,"""Key details missing or incomplete in the system "",""Inconsistency between call notes and system updates""",No,No,null,,null,Poor Outcome - Advisor,01/08/2024,479,30/09/2024,60,,
11,13/06/2025,2025-06-13,"627ceb04-6d50-484a-9028-5002373d53da
8724099f-0d96-43a9-a69e-6e4702d79d0d",In strategy,2024-07-09,3,2025-01-28,69.54,0,0,1,0,1,Yes,Yes,Yes,Yes,Yes,"""Financial""",No,No,Poor,"""Missed early warning signs""",Good,,Good,,Good,,Good with feedback,"""Key implications not explained""",Good,,Good,,No,No,null,,null,Good Outcome with Feedback,09/07/2024,502,28/01/2025,203,,
